Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
378208,"Plants of the Gods: Their Sacred, Healing, and Hallucinogenic Powers",Richard Evans Schultes,"Schultes, Richard Evans","Albert Hofmann, Christian Rätsch","=""0892819790""","=""9780892819799""",0,Healing Arts Press,Paperback,208,2001,1979,,2013/08/09,to-read,to-read (#11),to-read,,,,0,0
23955,Trainspotting,Irvine Welsh,"Welsh, Irvine",Eric Lindor Fall,"=""2020336464""","=""9782020336468""",0,Seuil,Mass Market Paperback,344,1998,1993,,2013/08/09,to-read,to-read (#10),to-read,,,,0,0
46945,Requiem for a Dream,Hubert Selby Jr.,"Jr., Hubert Selby","Darren Aronofsky, Richard Price","=""1560252480""","=""9781560252481""",0,Grand Central Publishing,Paperback,279,1999,1978,,2013/08/09,to-read,to-read (#9),to-read,,,,0,0
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0307347974""","=""9780307347978""",0,DeBolsillo,Mass Market Paperback,158,2004,1963,,2013/08/09,to-read,to-read (#8),to-read,,,,0,0
8770502,Ice Cream & Sadness,Kris Wilson,"Wilson, Kris",Matt Melvin,"=""0007319614""","=""9780007319619""",0,HarperCollins Publishers,Hardcover,176,2010,2010,,2013/08/09,to-read,to-read (#7),to-read,,,,0,0
7613,Animal Farm,George Orwell,"Orwell, George","Ann Patchett, Téa Obreht","=""""","=""""",5.0,Plume,Paperback,129,2003,1945,,2013/01/01,,,read,,,,1,0
19380,Candide,Voltaire,"Voltaire, Voltaire","Walter Jerrold, Rockwell Kent, Don Hagen, Sara Gioacchino Corcos","=""0486266893""","=""9780486266893""",4.0,"Dover Publications, Incorporated",Paperback,129,1991,1759,,2012/03/16,,,read,,,,1,0
301931,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0141019018""","=""9780141019017""",5.0,Penguin,Paperback,320,2006,2005,2011/11/21,2011/11/03,,,read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",5.0,New American Library,Mass Market Paperback,328,1950,1949,,2013/01/01,,,read,,,,1,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",4.0,Alfred A. Knopf,Hardcover,241,2006,2006,,2011/11/03,,,read,,,,1,0
3342431,The Last Lecture,Randy Pausch,"Pausch, Randy",Jeffrey Zaslow,"=""0340977736""","=""9780340977736""",5.0,Hodder & Stoughton,Paperback,206,2008,2008,,2011/11/03,,,read,,,,1,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",4.0,Harvest Books,Paperback,311,2004,1966,,2013/06/29,,,read,,,,1,0
33917,The Namesake,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0618485228""","=""9780618485222""",4.0,Mariner,Paperback,304,2003,2003,,2013/01/02,,,read,,,,1,0
9260507,5 Very Good Reasons to Punch a Dolphin in the Mouth and Other Useful Guides,Matthew Inman,"Inman, Matthew",,"=""1449401163""","=""9781449401160""",5.0,FisicalBook,Paperback,160,2011,2010,,2011/11/03,,,read,,,,1,0
12005016,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1408703742""","=""9781408703748""",5.0,"Little, Brown",Hardcover,630,2011,2011,2011/12/13,2011/11/03,,,read,,,,1,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Irina Henegar, Barry Fox","=""0316010669""","=""9780316010665""",4.0,Back Bay Books,Paperback,296,2007,2005,2013/08/02,2012/03/16,,,read,,,,1,0
172732,The Motorcycle Diaries: Notes on a Latin American Journey,Ernesto Che Guevara,"Guevara, Ernesto Che",Aleida Guevara March,"=""1876175702""","=""9781876175702""",0,Ocean Press,Paperback,175,2003,1992,,2013/07/29,,,read,,,,1,0
7745,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",0,Vintage Books,Paperback,204,1998,1971,,2012/05/06,to-read,to-read (#6),to-read,,,,0,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""159463193X""","=""9781594631931""",4.0,Riverhead Books,Paperback,371,2004,2003,,2013/01/01,,,read,,,,1,0
960,"Angels & Demons (Robert Langdon, #1)",Dan    Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",0,Pocket Books,Mass Market Paperback,736,2006,2000,,2013/01/01,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",0,Scholastic Inc.,Paperback,576,2004,2003,,2013/01/01,,,read,,,,1,0
270730,"Crank (Crank, #1)",Ellen Hopkins,"Hopkins, Ellen",,"=""0689865198""","=""9780689865190""",0,Margaret K. McElderry Books,Paperback,537,2004,2004,,2012/05/06,to-read,to-read (#5),to-read,,,,0,0
305554,Storming Heaven: LSD and the American Dream,Jay Stevens,"Stevens, Jay",,"=""0802135870""","=""9780802135872""",0,Grove Press,Paperback,416,1998,1987,,2012/05/06,to-read,to-read (#4),to-read,,,,0,0
12908814,"Oh No, George!",Chris Haughton,"Haughton, Chris",,"=""0763655465""","=""9780763655464""",0,Candlewick Press,Hardcover,32,2012,2012,,2012/05/04,to-read,to-read (#3),to-read,,,,0,0
11047697,Finish This Book,Keri Smith,"Smith, Keri",,"=""0399536892""","=""9780399536892""",0,Penguin Books,Paperback,208,2011,2011,,2012/05/04,to-read,to-read (#2),to-read,,,,0,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",2.0,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,,2011/11/03,,,read,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,Dial Press,Paperback,275,1999,1969,,2012/03/16,,,read,,,,1,0
13358197,Confessions of a Serial Dieter,Kalli Purie,"Purie, Kalli",,"=""9350291843""","=""9789350291849""",0,HarperCollins Publishers,Paperback,244,2012,2012,,2012/03/16,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",0,Scribner,Paperback,180,2025,1925,,2011/11/04,,,read,,,,1,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",2.0,HarperCollins,Paperback,197,1993,1988,,2011/11/03,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",5.0,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2011/11/03,,,read,,,,1,0
5759,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393327345""","=""9780393327342""",5.0,W.W. Norton & Company (NYC),Paperback,218,2005,1996,,2011/11/03,,,read,,,,1,0
297673,The Brief Wondrous Life of Oscar Wao,Junot Díaz,"Díaz, Junot",,"=""1594489580""","=""9781594489587""",4.0,Riverhead Books,Hardcover,335,2007,2007,,2011/11/03,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",5.0,Back Bay Books,Paperback,277,2001,1951,,2011/11/03,,,read,,,,1,0
227463,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""""","=""""",0,W. W. Norton & Company,Paperback,192,1986,1962,,2011/11/03,to-read,to-read (#1),to-read,,,,0,0
